Source,Destination,Protocol,Length,Tcp_Flags,Label
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,286,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,56,,Normal
192.168.29.9,192.168.29.109,17,234,,Normal
192.168.29.9,192.168.29.109,17,246,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,271,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,271,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,49,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,65,,Normal
192.168.29.9,192.168.29.109,17,54,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,152,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,152,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,50,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,82,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,54,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,114,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.9,192.168.29.109,17,72,,Normal
192.168.29.9,192.168.29.109,17,54,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,42,,Normal
192.168.29.9,192.168.29.109,17,72,,Normal
192.168.29.9,192.168.29.109,17,54,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
192.168.29.109,192.168.29.9,1,70,,Normal
